Data,Macchina,Messaggio
10-12-2024 20-43-00,Orchestrator FR1,Orchestrator FR1 Down
07-01-2025 20-48-00,Orchestrator FR1,Orchestrator FR1 Down
07-01-2025 20-48-00,Orchestrator FR2,Orchestrator FR2 Down
08-01-2025 13-12-35,All,Aggiunto sistema di logging csv
09-01-2025 02-40-00,All,Tutte le macchine sono down
10-01-2025 10-32-12,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!

15-01-2025 17-38-06,PRED ANONYMIZATION - FR1,PRED ANONYMIZATION - FR1 is down at 192.168.55.108:5071!
22-01-2025 10-00-37,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
22-01-2025 10-15-42,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
22-01-2025 10-30-47,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
23-01-2025 12-37-19,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
23-01-2025 12-52-24,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
27-01-2025 10-30-36,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
27-01-2025 10-30-39,MDC - FR1,MDC - FR1 machine has failed delta seconds check!
27-01-2025 13-31-23,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
27-01-2025 13-46-28,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
27-01-2025 14-01-33,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
27-01-2025 14-16-38,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
27-01-2025 14-31-43,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
27-01-2025 14-46-48,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
27-01-2025 15-01-53,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
31-01-2025 13-10-19,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
31-01-2025 13-10-21,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
04-02-2025 09-32-52,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
24-02-2025 14-33-46,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
24-02-2025 14-33-48,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
24-02-2025 14-33-51,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 05-30-06,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 05-45-06,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 06-00-06,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 06-15-05,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 06-30-06,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 06-45-05,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 07-00-06,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 07-15-05,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 07-30-06,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 07-45-05,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 08-00-07,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 08-15-05,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
12-03-2025 08-30-06,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
13-03-2025 13-30-03,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
13-03-2025 13-30-05,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
13-03-2025 13-30-07,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
13-03-2025 13-30-09,SKIP - FR2,SKIP - FR2 machine has failed delta seconds check!
13-03-2025 13-30-10,MDC - FR1,MDC - FR1 machine has failed delta seconds check!
13-03-2025 13-30-12,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
13-03-2025 13-45-03,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
13-03-2025 13-45-05,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
13-03-2025 13-45-07,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
13-03-2025 13-45-09,SKIP - FR2,SKIP - FR2 machine has failed delta seconds check!
13-03-2025 13-45-11,MDC - FR1,MDC - FR1 machine has failed delta seconds check!
13-03-2025 13-45-13,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
13-03-2025 14-00-03,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
13-03-2025 14-00-04,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
13-03-2025 14-00-06,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
13-03-2025 14-00-08,SKIP - FR2,SKIP - FR2 machine has failed delta seconds check!
13-03-2025 14-00-10,MDC - FR1,MDC - FR1 machine has failed delta seconds check!
13-03-2025 14-00-12,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
13-03-2025 14-15-03,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
13-03-2025 14-15-05,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
13-03-2025 14-15-06,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
13-03-2025 14-15-08,SKIP - FR2,SKIP - FR2 machine has failed delta seconds check!
13-03-2025 14-15-10,MDC - FR1,MDC - FR1 machine has failed delta seconds check!
13-03-2025 14-15-12,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
13-03-2025 14-30-03,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
13-03-2025 14-30-05,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
13-03-2025 14-30-07,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
13-03-2025 14-30-08,SKIP - FR2,SKIP - FR2 machine has failed delta seconds check!
13-03-2025 14-30-10,MDC - FR1,MDC - FR1 machine has failed delta seconds check!
13-03-2025 14-30-12,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
13-03-2025 14-45-03,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!
13-03-2025 14-45-05,ORCHESTRATOR - FR2,ORCHESTRATOR - FR2 machine has failed delta seconds check!
13-03-2025 14-45-07,SKIP - FR1,SKIP - FR1 machine has failed delta seconds check!
13-03-2025 14-45-09,SKIP - FR2,SKIP - FR2 machine has failed delta seconds check!
13-03-2025 14-45-10,MDC - FR1,MDC - FR1 machine has failed delta seconds check!
13-03-2025 14-45-13,MDC - FR2,MDC - FR2 machine has failed delta seconds check!
13-03-2025 15-00-04,ORCHESTRATOR - FR1,ORCHESTRATOR - FR1 machine has failed delta seconds check!